lambda,k,sigma,brier_score,ranked
6,0.12,40,0.19498827614189773,115
10,0.08,25,0.19519546855097072,116
5,0.12,40,0.19519935474886016,117
8,0.08,25,0.19531450224341376,118
4,0.12,40,0.19548996433878146,119
6,0.08,25,0.1955475269708187,120
5,0.08,25,0.19573431577689723,121
3,0.12,40,0.19589786926979563,122
4,0.08,25,0.19599287184661698,123
3,0.08,25,0.19635685860841756,124
2,0.12,40,0.19649271925728165,125
2,0.08,25,0.1968897210480091,126
10,0.1,30,0.1972910648191909,127
8,0.1,30,0.19741830325406548,128
6,0.1,30,0.19767008713781997,129
5,0.1,30,0.19787347475284597,130
4,0.1,30,0.1981567454891507,131
3,0.1,30,0.19855827176854401,132
10,0.12,35,0.19876638224745652,133
8,0.12,35,0.19889767723065443,134
2,0.1,30,0.19915028608608015,135
6,0.12,35,0.19916007384935125,136
5,0.12,35,0.19937329427720596,137
10,0.06,15,0.1994489923417961,138
8,0.06,15,0.19950997117669694,139
6,0.06,15,0.19966756718767092,140
4,0.12,35,0.19967151779707873,141
5,0.06,15,0.19980539556317875,142
4,0.06,15,0.20000274964462006,143
3,0.12,35,0.2000961502092218,144
3,0.06,15,0.20028798287643587,145
2,0.06,15,0.20071959457887426,146
2,0.12,35,0.2007252116734204,147
10,0.08,20,0.2021181079003222,148
8,0.08,20,0.2022007914453033,149
6,0.08,20,0.20239988696896227,150
5,0.08,20,0.2025721852781038,151
4,0.08,20,0.20281957241234286,152
3,0.08,20,0.2031792315321529,153
10,0.1,25,0.20354545480196135,154
8,0.1,25,0.20364085712985788,155
2,0.08,20,0.2037249135275986,156
6,0.1,25,0.2038637361780423,157
5,0.1,25,0.20405556382565018,158
4,0.1,25,0.20433113977077316,159
10,0.12,30,0.20437262777092427,160
8,0.12,30,0.20447541748674128,161
6,0.12,30,0.2047120699628382,162
3,0.1,25,0.204732602772337,163
5,0.12,30,0.2049151865426802,164
4,0.12,30,0.20520704014489483,165
2,0.1,25,0.20534242754581816,166
3,0.12,30,0.20563263463407813,167
2,0.12,30,0.2062795530049393,168
10,0.12,25,0.2119995512909401,169
8,0.12,25,0.21204705178006097,170
6,0.12,25,0.21222421094738328,171
5,0.12,25,0.21239657902263281,172
10,0.1,20,0.21253999034958376,173
8,0.1,20,0.21256755055938636,174
4,0.12,25,0.21265810425127718,175
6,0.1,20,0.21271592873256118,176
8,0.08,15,0.21284668769340662,177
10,0.08,15,0.2128499199803773,178
5,0.1,20,0.21286809765533715,179
6,0.08,15,0.212948401457399,180
3,0.12,25,0.2130571798859237,181
5,0.08,15,0.21306651242121125,182
4,0.1,20,0.21310310560448764,183
4,0.08,15,0.213255540381461,184
3,0.1,20,0.21346635778084636,185
3,0.08,15,0.21355485643985164,186
2,0.12,25,0.21369263688913104,187
2,0.08,15,0.21405029204689727,188
2,0.1,20,0.21405253193606064,189
8,0.12,20,0.22251430288922464,190
10,0.12,20,0.22256086579908,191
6,0.12,20,0.2225824098087266,192
5,0.12,20,0.22269317403163089,193
4,0.12,20,0.22288799540835766,194
3,0.12,20,0.22321808449327266,195
2,0.12,20,0.22379567440389878,196
8,0.1,15,0.2257040890885817,197
6,0.1,15,0.225710179575698,198
5,0.1,15,0.22578002164603045,199
10,0.1,15,0.22579710926637866,200
4,0.1,15,0.225923412503041,201
3,0.1,15,0.2261874359263803,202
2,0.1,15,0.2266806802311278,203
6,0.12,15,0.23720438147748124,204
5,0.12,15,0.23721971292038357,205
8,0.12,15,0.23729879829370704,206
4,0.12,15,0.23730639735243514,207
10,0.12,15,0.2374815210729921,208
3,0.12,15,0.23751582783362815,209
2,0.12,15,0.23797287425998645,210
